website,link,header,time,year,month,day,hour,minute,second
Alipay,https://play.google.com/store/apps/details?id=com.eg.android.AlipayGphone,Alipay,"Sep 17, 2018, 10:47:27 PM EDT",2018,9,17,22,47,27
Google Chrome: Fast & Secure,https://play.google.com/store/apps/details?id=com.android.chrome,Google Chrome: Fast & Secur,"Sep 17, 2018, 10:47:11 PM EDT",2018,9,17,22,47,11
com.vivo.vtouch,,com.vivo.vtouch,"Sep 17, 2018, 10:46:36 PM EDT",2018,9,17,22,46,36
com.vivo.upslide,,com.vivo.upslid,"Sep 17, 2018, 10:45:20 PM EDT",2018,9,17,22,45,20
WhatsApp Messenger,https://play.google.com/store/apps/details?id=com.whatsapp,WhatsApp Messenger,"Sep 17, 2018, 10:45:12 PM EDT",2018,9,17,22,45,12
Contacts,https://play.google.com/store/apps/details?id=com.android.contacts,Contacts,"Sep 17, 2018, 10:45:04 PM EDT",2018,9,17,22,45,4
WeChat,https://play.google.com/store/apps/details?id=com.tencent.mm,WeChat,"Sep 17, 2018, 10:43:41 PM EDT",2018,9,17,22,43,41
"HelloTalk — Chat, Speak & Learn Foreign Languages",https://play.google.com/store/apps/details?id=com.hellotalk,"HelloTalk — Chat, Speak & Learn Foreign Languages","Sep 17, 2018, 10:43:30 PM EDT",2018,9,17,22,43,30
com.android.packageinstaller,,com.android.packageinstaller,"Sep 17, 2018, 10:43:28 PM EDT",2018,9,17,22,43,28
"Stocks, Forex, Finance, Markets: Portfolio & News",https://play.google.com/store/apps/details?id=com.fusionmedia.investing,"Stocks, Forex, Finance, Markets: Portfolio & News","Sep 17, 2018, 10:36:12 PM EDT",2018,9,17,22,36,12
QQ,https://play.google.com/store/apps/details?id=com.tencent.mobileqq,QQ,"Sep 17, 2018, 10:35:01 PM EDT",2018,9,17,22,35,1
YouTube,https://play.google.com/store/apps/details?id=com.google.android.youtube,YouTub,"Sep 17, 2018, 10:17:43 PM EDT",2018,9,17,22,17,43
WeChat,https://play.google.com/store/apps/details?id=com.tencent.mm,WeChat,"Sep 17, 2018, 9:22:27 PM EDT",2018,9,17,21,22,27
Messaging,https://play.google.com/store/apps/details?id=com.android.mms,Messaging,"Sep 17, 2018, 9:22:21 PM EDT",2018,9,17,21,22,21
com.bbk.launcher2,,com.bbk.launcher,"Sep 17, 2018, 9:13:12 PM EDT",2018,9,17,21,13,12
QQ,https://play.google.com/store/apps/details?id=com.tencent.mobileqq,QQ,"Sep 17, 2018, 9:13:08 PM EDT",2018,9,17,21,13,8
com.android.providers.downloads,,com.android.providers.downloads,"Sep 17, 2018, 8:50:02 PM EDT",2018,9,17,20,50,2
